text	category	priority
एक्स्ट्रा क्लास नहीं लगती	Academics	Medium
सिलेबस बहुत ज्यादा है	Academics	Medium
टीचर समझाते नहीं हैं	Academics	High
रूम अलॉटमेंट में दिक्कत है	Hostel	Medium
फोटोकॉपी शॉप बंद रहती है	Infrastructure	Low
बस रूट बदल दिया गया	Transport	Medium
लंच ब्रेक कम है	Administration	Low
क्लास टाइमटेबल क्लैश करता है	Academics	High
डिपार्टमेंट ऑफिस में कोई नहीं मिलता	Administration	Medium
सर्टिफिकेट वेरिफिकेशन में देरी	Administration	Medium
कंप्लेंट बॉक्स चेक नहीं होता	Administration	Medium
एयर कंडीशनर नहीं है	Infrastructure	Low
पेड़ काटे जा रहे हैं	Environment	Low
क्लीनिंग स्टाफ नहीं आता	Infrastructure	Medium
डस्टबिन नहीं रखे हैं	Infrastructure	Low
मॉक टेस्ट नहीं होते	Academics	Medium
करियर काउंसलिंग नहीं मिलती	Placement	Medium
रिसर्च फंडिंग नहीं मिलती	Academics	High
पीएचडी गाइड नहीं मिलता	Academics	High
पब्लिकेशन सपोर्ट नहीं है	Academics	Medium
कॉन्फ्रेंस अटेंड करने का मौका नहीं	Academics	Medium
लैपटॉप चार्जिंग पॉइंट नहीं है	Infrastructure	Medium
हॉस्टल में गेस्ट नहीं आ सकते	Hostel	Low
वैकेशन में हॉस्टल बंद होता है	Hostel	Medium
नाइट आउट अप्रूवल मुश्किल है	Hostel	Low
मेस में वेज ऑप्शन कम है	Hostel	Low
नॉनवेज का खाना अच्छा नहीं	Hostel	Low
मेस का मेन्यू बदलता नहीं	Hostel	Low
फ्रूट्स नहीं मिलते मेस में	Hostel	Low
जूस कॉर्नर नहीं है	Infrastructure	Low
बुक बैंक से किताबें नहीं मिलती	Library	Medium
लाइब्रेरी में शोर होता है	Library	Medium
ई-रिसोर्सेज एक्सेस नहीं है	Library	Medium
जर्नल सब्सक्रिप्शन नहीं है	Library	Medium
स्टडी रूम की कमी है	Library	Medium
ग्रुप डिस्कशन रूम नहीं है	Infrastructure	Low
ऑडिटोरियम बुक करना मुश्किल है	Administration	Low
फेस्ट का बजट कम मिलता है	Extracurricular	Low
एनएसएस एक्टिविटी नहीं होती	Extracurricular	Low
एनसीसी ट्रेनिंग अच्छी नहीं है	Extracurricular	Low
कल्चरल प्रोग्राम कम होते हैं	Extracurricular	Low
टेक्निकल फेस्ट नहीं होता	Extracurricular	Low
हैकाथॉन नहीं होते	Academics	Low
कोडिंग क्लब नहीं है	Extracurricular	Low
डिबेट कंपीटीशन नहीं होते	Extracurricular	Low
क्विज कंपीटीशन नहीं होते	Extracurricular	Low
म्यूजिक रूम नहीं है	Extracurricular	Low
डांस रूम की सुविधा नहीं है	Extracurricular	Low
आर्ट क्लब नहीं है	Extracurricular	Low
फोटोग्राफी क्लब नहीं है	Extracurricular	Low
ड्रामा सोसाइटी नहीं है	Extracurricular	Low
मीडिया क्लब एक्टिव नहीं है	Extracurricular	Low
एंटरप्रेन्योरशिप सेल नहीं है	Placement	Medium
स्टार्टअप सपोर्ट नहीं मिलता	Placement	Medium
इनोवेशन लैब नहीं है	Academics	Medium
मेकर्स स्पेस नहीं है	Academics	Low
थ्रीडी प्रिंटर नहीं है	Academics	Low
आईओटी लैब नहीं है	Academics	Medium
एआई एमएल कोर्स नहीं है	Academics	High
साइबर सिक्योरिटी लैब नहीं है	Academics	Medium
क्लाउड कंप्यूटिंग नहीं सिखाते	Academics	Medium
डेटा साइंस कोर्स नहीं है	Academics	High
ब्लॉकचेन नहीं पढ़ाते	Academics	Low
डिजिटल मार्केटिंग नहीं सिखाते	Academics	Low
सॉफ्ट स्किल्स ट्रेनिंग नहीं होती	Academics	Medium
कम्युनिकेशन क्लास नहीं है	Academics	Medium
एप्टीट्यूड ट्रेनिंग नहीं होती	Placement	Medium
इंटरव्यू प्रेप नहीं कराते	Placement	High
रिज्यूम बिल्डिंग सेशन नहीं होते	Placement	Medium
लिंक्डइन प्रोफाइल हेल्प नहीं मिलती	Placement	Low
जॉब पोर्टल एक्सेस नहीं है	Placement	Medium
ऑफकैंपस ड्राइव की जानकारी नहीं	Placement	Medium
एल्युमनी नेटवर्क कमजोर है	Placement	Medium
मेंटरशिप प्रोग्राम नहीं है	Academics	Medium
पीयर टू पीयर लर्निंग नहीं है	Academics	Low
टीम प्रोजेक्ट में झगड़ा	Academics	Medium
वाइवा में पक्षपात होता है	Academics	High
इंटर्नल मार्क्स फेयर नहीं हैं	Academics	High
असाइनमेंट कॉपी होता है	Academics	Medium
चीटिंग पकड़ी नहीं जाती	Academics	High
प्लेजियरिज्म चेकर नहीं है	Academics	Medium
ओपन बुक एग्जाम नहीं होते	Academics	Low
टेक होम असाइनमेंट नहीं देते	Academics	Low
ऑनलाइन एग्जाम में प्रॉब्लम है	Academics	High
प्रॉक्टरिंग सॉफ्टवेयर खराब है	Academics	Medium
ग्रेडिंग सिस्टम क्लियर नहीं है	Academics	Medium
सीजीपीए कैलकुलेशन गलत है	Academics	High
बैकलॉग क्लियर करना मुश्किल है	Academics	High
रीएग्जाम की तारीख क्लैश करती है	Academics	High
सप्लीमेंटरी एग्जाम देर से होते हैं	Academics	High
इम्प्रूवमेंट एग्जाम नहीं होते	Academics	Medium
ग्रेस मार्क्स नहीं मिलते	Academics	Medium
अटेंडेंस कंडोन नहीं होता	Academics	High
मेडिकल सर्टिफिकेट मान्य नहीं होता	Administration	High
কাজ খুব ধীরে হয়	Office	Low
ভাড়া অনেক বেশি	Transport	Medium
পরীক্ষা দেরিতে হচ্ছে	Academics	Medium
লাইব্রেরিতে সমস্যা আছে	Academics	Medium
পড়ানো ভালো নয়	Academics	Medium
ফ্যান কাজ করছে না	Infrastructure	High
সিলেবাস শেষ হয়নি	Academics	Low
বাসে অনেক ভিড়	Transport	Low
রুম নোংরা	Hostel	Low
হোস্টেলে বিদ্যুৎ নেই	Hostel	High
বাস দেরিতে আসে	Transport	Low
শিক্ষক পাওয়া যাচ্ছে না	Academics	Medium
হোস্টেলে শব্দ হচ্ছে	Hostel	High
বিদ্যুৎ সমস্যা আছে	Infrastructure	High
ইন্টারনেট কাজ করছে না	Infrastructure	Low
ট্রান্সপোর্ট নেই	Transport	High
স্টাফের আচরণ খারাপ	Office	Medium
অফিস তাড়াতাড়ি বন্ধ হয়	Office	Low
ডকুমেন্ট হারিয়ে গেছে	Office	Low
ওয়াইফাই খুব ধীর	Infrastructure	Low
হোস্টেলের খাবার খারাপ	Hostel	Low
পানির সমস্যা আছে	Infrastructure	Medium
ড্রাইভিং নিরাপদ নয়	Transport	High
ফোন স্ক্রিন হ্যাং হয়ে আছে	Hardware	High
অ্যাপ ইন্সটল হচ্ছে না	Software	Medium
কীবোর্ডের স্পেসবার কাজ করছে না	Hardware	Low
মাউসের চাকা ভেঙে গেছে	Hardware	Low
এসএসডি আপগ্রেড করা দরকার	Hardware	Medium
মাদারবোর্ডে সমস্যা	Hardware	Critical
র‍্যাম কাজ করছে না	Hardware	High
গ্রাফিক্স কার্ড অতিরিক্ত গরম হচ্ছে	Hardware	High
পাওয়ার কেবল পাওয়া যাচ্ছে না	Hardware	Medium
ব্যাটারির চার্জ খুব দ্রুত শেষ হচ্ছে	Hardware	Medium
ইউএসবি ড্রাইভ রিড করছে না	Hardware	Medium
সিডি/ডিভিডি ড্রাইভ আটকে আছে	Hardware	Low
ওয়েবক্যাম ঘোলা	Hardware	Low
স্পিকারের সাউন্ড খুব কম	Hardware	Low
বায়োমেট্রিক স্ক্যানার ফেইল করেছে	Hardware	High
এইচআর পোর্টালে লগইন করা যাচ্ছে না	Access	High
পেস্লিপ ডাউনলোডে সমস্যা	HR	Medium
ছুটির অনুমোদন পেন্ডিং আছে	HR	Low
মেডিকেল ক্লেইম বাতিল হয়েছে	HR	High
অফিসের চেয়ার ভেঙে গেছে	Facilities	Low
সার্ভার রুমে এসি কাজ করছে না	Infrastructure	Critical
বায়োমেট্রিক হাজিরা রেকর্ড হয়নি	HR	Medium
আইডি কার্ড অ্যাক্সেস ডিনাইড	Access	High
অফিসের ডেস্কের চাবি হারিয়ে গেছে	Facilities	Medium
একটি সেকেন্ডারি মনিটর দরকার	Hardware	Low
জুম অডিওতে ইকো হচ্ছে	Software	Medium
টিমস চ্যাট আপডেট হচ্ছে না	Software	Medium
স্ল্যাক ওয়ার্কস্পেসে ঢোকা যাচ্ছে না	Software	High
গুগল মিট লিংক কাজ করছে না	Software	High
ইমেইল ইনবক্স ফুল হয়ে গেছে	Software	Medium
ইমেইল ফরোয়ার্ডিং রুল কাজ করছে না	Software	Low
ইমেইলে সিগনেচার দেখাচ্ছে না	Software	Low
ফিশিং ইমেইল রিপোর্ট করা হয়েছে	Security	High
ম্যালওয়্যার ধরা পড়েছে	Security	Critical
র‍্যানসমওয়্যার অ্যালার্ট	Security	Critical
ডেটা ব্রিচ সন্দেহ করা হচ্ছে	Security	Critical
গেস্ট ওয়াইফাই পাসওয়ার্ড দরকার	Network	Low
ব্যান্ডউইথ লিমিট শেষ হয়ে গেছে	Network	Medium
স্ট্যাটিক আইপি রিকোয়েস্ট	Network	Low
ডিএনএস কাজ করছে না	Network	High
প্রক্সি সার্ভার এরর	Network	High
রাউটারের ফার্মওয়্যার আপডেট দরকার	Network	Medium
আইএসপি ডাউন	Network	Critical
সুইচ পোর্ট ডেড	Network	High
কেবল ডিসকানেক্টেড	Network	Medium
ডেটাবেস টাইমআউট	Database	High
কোয়েরি অপ্টিমাইজেশন দরকার	Database	Medium
রেডিস ক্যাশ এরর	Database	High
মঙ্গোডিবি কানেকশন লস্ট	Database	Critical
স্টোরেজ ভলিউম ডিটাচড	Cloud	High
এডব্লিউএস কনসোল লক হয়ে গেছে	Cloud	Critical
অ্যাজিউর ভিএম স্টার্ট হচ্ছে না	Cloud	High
জিসিপি প্রজেক্ট কোটা শেষ	Cloud	Medium
ডকার কন্টেইনার ক্র্যাশ করেছে	Infrastructure	High
কুবারনেটিস পড ফেইল করছে	Infrastructure	High
পাইপলাইন ডেপ্লয়মেন্ট ফেইল হয়েছে	Infrastructure	High
এসএসএল হ্যান্ডশেক ফেইল হয়েছে	Security	High
সার্টিফিকেট রোটেশন দরকার	Security	Medium
টু-স্টেপ ভেরিফিকেশন কোড আসছে না	Security	High
অথেনটিকেটর অ্যাপ হারিয়ে গেছে	Security	High
টেম্পোরারি পাসওয়ার্ড এক্সপায়ার হয়েছে	Access	Medium
সিঙ্গেল সাইন-অন এরর	Access	High
অ্যাডমিন রাইটস চাওয়া হয়েছে	Access	Medium
ভিউ-অনলি অ্যাক্সেস দেওয়া হয়েছে	Access	Low
লাইসেন্স অ্যাক্টিভেশন ফেইল হয়েছে	Software	High
সাবস্ক্রিপশন অটো-রিনিউয়াল ফেইল হয়েছে	Billing	High
বিলিং ঠিকানা আপডেট	Billing	Low
ক্রেডিট কার্ড ডিক্লাইন হয়েছে	Billing	High
ইনভয়েসে বেশি টাকা ধরা হয়েছে	Billing	Medium
ট্যাক্স রসিদ দরকার	Billing	Low
প্রোমো কোড ইনভ্যালিড	Billing	Low
কাস্টমার মত পরিবর্তন করেছেন	General	Low
ভুল প্রোডাক্ট পাঠানো হয়েছে	General	High
বক্সে কিছু পার্টস নেই	General	Medium
ট্রানজিটের সময় ড্যামেজ হয়েছে	General	High
রিটার্ন শিপিং লেবেল দরকার	General	Low
অর্ডার ট্র্যাকিং আপডেট হচ্ছে না	General	Medium
ঠিকানা খুঁজে পাওয়া যাচ্ছে না	General	High
প্যাকেজ ডেলিভারড দেখাচ্ছে কিন্তু পাইনি	General	High
অ্যাপ চালুর সময় ক্র্যাশ করছে	Software	High
লোডিং স্ক্রিনে আটকে আছে	Software	Medium
ইউআই টেক্সট ওভারল্যাপ করছে	Software	Low
বাটনে ক্লিক করা যাচ্ছে না	Software	High
ছবি রেন্ডার হচ্ছে না	Software	Medium
ফর্ম ভ্যালিডেশন এরর	Software	Medium
সব ডিভাইসে ডেটা সিঙ্ক হচ্ছে না	Software	Medium
অফলাইন মোড কাজ করছে না	Software	Medium
পুশ নোটিফিকেশন দেরিতে আসছে	Software	Low
ব্যাটারি সেভার মোডে সমস্যা	Software	Low
জিপিএস লোকেশন ভুল দেখাচ্ছে	Mobile	High
বায়োমেট্রিক লগইন ফেইল হয়েছে	Access	High
ডার্ক মোডে কালার কনট্রাস্ট খারাপ	Software	Low
ফন্ট রেন্ডারিং গ্লিচ	Software	Low
অডিও সিঙ্ক হচ্ছে না	Software	Medium
সাবটাইটেল দেখাচ্ছে না	Software	Low
পিডিএফ এক্সপোর্ট ফেইল হয়েছে	Software	Medium
প্রিন্ট প্রিভিউ ফাঁকা	Software	Low
কপি-পেস্ট করার পর ফরম্যাটিং নষ্ট হয়ে গেছে	Software	Low
স্পেল চেক কাজ করছে না	Software	Low
অটো-সেভ ফেইল হয়েছে	Software	High
সেমিস্টার পরীক্ষার ফর্ম ফিলাপ হচ্ছে না	Examination	High
এডমিট কার্ডে ছবির জায়গায় অন্য কিছু দেখাচ্ছে	Examination	Critical
লাইব্রেরিতে দরকারি বই খুঁজে পাচ্ছি না	Academic	Medium
রেজাল্টে ইন্টারনাল মার্কস যোগ হয়নি	Examination	High
প্লেসমেন্ট ড্রাইভের জন্য রেজিস্ট্রেশন করতে পারছি না	Placement	High
ল্যাবের কম্পিউটারে সফটওয়্যার ইন্সটল নেই	Academic	Medium
প্রজেক্ট সাবমিশনের পোর্টাল কাজ করছে না	Academic	High
অ্যাটেনডেন্স পার্সেন্টেজ ভুল দেখাচ্ছে	Administration	Medium
স্কলারশিপের ভেরিফিকেশন এখনো পেন্ডিং	Finance	High
কলেজ বাস সময়মতো আসছে না	Transport	Medium
হোস্টেলের ওয়াইফাই স্পিড খুব কম	Infrastructure	Medium
ক্যান্টিনের খাবারের মান খুব খারাপ	Facilities	High
আইডেন্টিটি কার্ড হারিয়ে গেছে, নতুন কার্ড দরকার	Administration	Medium
মার্কশিটে নামের বানান ভুল আছে	Examination	Medium
ইন্টার্নশিপের সার্টিফিকেট আপলোড হচ্ছে না	Placement	Medium
ল্যাবে ইন্টারনেটের কানেকশন নেই	Infrastructure	High
প্রোফেসরের সাথে অ্যাপয়েন্টমেন্ট পাচ্ছি না	Academic	Low
সেমিনার হলের এসি কাজ করছে না	Facilities	Low
সাপ্লিমেন্টারি পরীক্ষার রুটিন দরকার	Examination	Medium
কলেজের মেইল আইডি পাসওয়ার্ড ভুলে গেছি	Access	High
কোর্স কারিকুলাম ডাউনলোড করা যাচ্ছে না	Academic	Low
স্পোর্টস রুমের চাবি পাওয়া যাচ্ছে না	Facilities	Low
টিসি (ট্রান্সফার সার্টিফিকেট) এর জন্য আবেদন করতে চাই	Administration	Medium
ক্লাসরুমে প্রজেক্টর কাজ করছে না	Academic	Medium
ফি জমা দেওয়ার রসিদ পাইনি	Finance	High
হোস্টেলে জলের সমস্যা হচ্ছে	Facilities	High
লাইব্রেরি কার্ড রিনিউ করতে হবে	Academic	Low
অফলাইন ক্লাসের নোটিশ এখনো আসেনি	Administration	Low
ল্যাব ম্যানুয়াল খুঁজে পাচ্ছি না	Academic	Medium
কম্পাইলার এরর দিচ্ছে ল্যাবের পিসিতে	Academic	Medium
গ্রেড কার্ডে সিজিপিএ ভুল ক্যালকুলেট করা হয়েছে	Examination	High
এনওসি (NOC) সার্টিফিকেট দরকার	Administration	Medium
ব্যাকলগ পেপারের জন্য কত টাকা দিতে হবে?	Finance	Medium
কমন রুম খুব নোংরা হয়ে আছে	Facilities	Low
ডিউ ক্লিয়ারেন্স সার্টিফিকেট পাচ্ছি না	Administration	High
টিচিং অ্যাসিস্ট্যান্ট ফোন ধরছে না	Academic	Low
সেমিস্টারের মাঝখানে টিচার চেঞ্জ হয়েছে	Academic	Medium
প্র্যাকটিক্যাল পরীক্ষার ডেট পিছিয়ে গেছে	Examination	Medium
কোডিং অ্যাসাইনমেন্টে বাগ আছে	Academic	Medium
থিসিস পেপার জমা দেওয়ার লাস্ট ডেট কবে?	Academic	High
গেস্ট লেকচারের লিংক কাজ করছে না	Academic	Medium
ডিজিটাল লাইব্রেরি অ্যাক্সেস করতে পারছি না	Access	Medium
ল্যাপটপ চার্জিং পয়েন্ট কাজ করছে না ক্লাসে	Infrastructure	Low
স্টুডেন্ট ক্রেডিট কার্ডের স্ট্যাটাস কি?	Finance	High
বনভোজনের জন্য পারমিশন দরকার	Administration	Low
ল্যাব রিপোর্ট চেক করা হয়নি এখনো	Academic	Low
ভেকটিমাইজেশন বা র‍্যাগিং এর অভিযোগ জানাতে চাই	Security	Critical
কালকে কি কলেজ ছুটি?	General	Low
পার্কিং লটে জায়গা পাওয়া যাচ্ছে না	Transport	Low
হোস্টেলের কার্ফু টাইম বাড়াতে হবে	Facilities	Medium
এনভায়রনমেন্টাল স্টাডিজের প্রজেক্ট টপিক কি?	Academic	Low
মাইগ্রেশন সার্টিফিকেট কত দিনে পাব?	Administration	Medium
